ID,Plataformas,FrecuenciaInternet,SeriesFavoritas,FrecuenciaNetflix,RecenciaNetflix,IntencionNetflix1,BenefEsp1,BenefEsp2,BenefEsp3,BenefEsp4,BenefEsp5,BenefEsp6,BenefEsp7,BenefEsp8,BenefEsp9,BenefEsp10,BenefEsp11,BenefEsp12,BenefEsp13,Actitud1,Actitud2,Actitud3,Barreras1,Barreras2,Barreras3,Barreras4,Barreras5,Barreras6,Barreras7,Barreras8,Barreras9,ControlPerc1,NormaDescriptiva1,NormaDescriptiva2,NormaSubjetiva1,NormaSubjetiva2,IntencionNetflix2,ControlPerc2,Sexo,Edad,TiempoResp
50,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 2 y 3 horas,TV réalité;aventure/action;documentaire,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,6,2,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,Hombre,18,195.7968578
51,Netflix;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 3 y 5 horas,Monologos;Documental;Romantica,5,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,5,6,5,5,3,5,5,3,5,5,5,5,5,NA,NA,NA,NA,5,NA,5,Mujer,18,291.8878275
52,Netflix;Canal+ série et/ou film;Apple TV+,Entre 0 y 30 minutos,humour/comédie;historique;thriller,4,1,1,NA,2,NA,1,2,1,2,2,NA,NA,2,2,2,2,4,4,4,3,4,6,6,6,6,6,6,1,1,1,1,NA,NA,1,Hombre,18,125.558343
53,Netflix;OCS;Disney+,Entre 0 y 30 minutos,Science Fiction;TV réalité;aventure/action,6,NA,NA,5,NA,5,NA,5,5,5,5,NA,5,5,5,5,4,5,5,5,4,3,4,4,5,4,3,4,5,5,NA,5,NA,NA,NA,Mujer,18,332.3653303
54,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo,Entre 3 y 5 horas,humour/comédie;aventure/action;documentaire,6,NA,NA,NA,NA,1,1,NA,NA,NA,NA,5,NA,NA,NA,5,5,5,5,4,5,4,3,3,6,6,4,1,NA,NA,NA,NA,2,5,NA,Hombre,18,223.2750273
55,Netflix;Canal+ série et/ou film;Amazone prime vidéo,Entre 2 y 3 horas,humour/comédie;horreur;aventure/action,4,NA,NA,5,2,NA,2,5,NA,5,5,5,5,NA,NA,NA,4,5,5,3,3,6,3,3,2,4,3,2,NA,NA,NA,NA,NA,5,NA,Hombre,19,313.7645044
56,Netflix;OCS;Canal+ série et/ou film;Apple TV+,Entre 30 minutos y 1 hora,Science Fiction;TV réalité;aventure/action,5,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,1,4,3,4,3,3,3,3,1,NA,NA,5,5,NA,5,5,Hombre,18,431.1638778
57,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,horreur;thriller;animé,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,5,6,6,6,6,4,6,6,6,NA,NA,NA,NA,NA,NA,NA,Hombre,18,273.4644747
58,Netflix,Entre 0 y 30 minutos,humour/comédie,6,5,NA,5,5,5,5,NA,5,5,5,5,5,5,5,5,5,4,4,3,3,3,3,3,3,5,6,6,NA,NA,5,5,5,NA,5,Mujer,20,322.9096958
59,Netflix;Canal+ série et/ou film;Amazone prime vidéo,Entre 30 minutos y 1 hora,TV réalité;humour/comédie;romantique,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,1,2,4,3,2,1,1,2,2,NA,NA,NA,2,NA,NA,NA,Mujer,17,316.4409405
